4,0,4.47E-04,8.43E-04,1.20E-03,1.51E-03,1.78E-03,2.03E-03,2.24E-03,2.43E-03,2.59E-03
4.1,0,4.46E-04,8.43E-04,1.20E-03,1.51E-03,1.79E-03,2.04E-03,2.26E-03,2.45E-03,2.62E-03
4.2,0,4.44E-04,8.42E-04,1.20E-03,1.51E-03,1.80E-03,2.05E-03,2.27E-03,2.47E-03,2.64E-03
4.3,0,4.43E-04,8.41E-04,1.20E-03,1.52E-03,1.80E-03,2.06E-03,2.29E-03,2.49E-03,2.67E-03
4.4,0,4.42E-04,8.39E-04,1.20E-03,1.52E-03,1.81E-03,2.07E-03,2.30E-03,2.50E-03,2.69E-03
4.5,0,4.40E-04,8.37E-04,1.20E-03,1.52E-03,1.81E-03,2.07E-03,2.31E-03,2.52E-03,2.71E-03
4.6,0,4.38E-04,8.35E-04,1.19E-03,1.52E-03,1.81E-03,2.08E-03,2.32E-03,2.53E-03,2.72E-03
4.7,0,4.36E-04,8.32E-04,1.19E-03,1.52E-03,1.81E-03,2.08E-03,2.32E-03,2.54E-03,2.74E-03
4.8,0,4.34E-04,8.30E-04,1.19E-03,1.52E-03,1.81E-03,2.08E-03,2.33E-03,2.55E-03,2.75E-03
4.9,0,4.32E-04,8.27E-04,1.19E-03,1.52E-03,1.81E-03,2.09E-03,2.33E-03,2.56E-03,2.76E-03
5,0,4.30E-04,8.24E-04,1.18E-03,1.51E-03,1.81E-03,2.09E-03,2.34E-03,2.57E-03,2.77E-03
