3.8,4.21E-11,9.23E-10,2.14E-08,4.35E-07,5.89E-06,4.02E-05,1.31E-04,2.58E-04,3.97E-04,5.37E-04
3.9,4.47E-11,9.84E-10,2.28E-08,4.64E-07,6.26E-06,4.24E-05,1.37E-04,2.69E-04,4.13E-04,5.58E-04
4,4.75E-11,1.05E-09,2.43E-08,4.94E-07,6.66E-06,4.49E-05,1.44E-04,2.82E-04,4.31E-04,5.81E-04
4.1,5.06E-11,1.12E-09,2.60E-08,5.28E-07,7.09E-06,4.75E-05,1.52E-04,2.95E-04,4.50E-04,6.06E-04
4.2,5.40E-11,1.20E-09,2.78E-08,5.64E-07,7.56E-06,5.04E-05,1.60E-04,3.10E-04,4.71E-04,6.33E-04
4.3,5.76E-11,1.29E-09,2.98E-08,6.04E-07,8.08E-06,5.36E-05,1.69E-04,3.26E-04,4.94E-04,6.63E-04
4.4,6.16E-11,1.38E-09,3.19E-08,6.47E-07,8.63E-06,5.70E-05,1.79E-04,3.44E-04,5.19E-04,6.95E-04
4.5,6.59E-11,1.48E-09,3.43E-08,6.93E-07,9.23E-06,6.07E-05,1.89E-04,3.62E-04,5.46E-04,7.30E-04
4.6,7.05E-11,1.59E-09,3.68E-08,7.44E-07,9.89E-06,6.47E-05,2.00E-04,3.83E-04,5.75E-04,7.67E-04
4.7,7.55E-11,1.71E-09,3.95E-08,7.99E-07,1.06E-05,6.89E-05,2.13E-04,4.04E-04,6.07E-04,8.07E-04
4.8,8.09E-11,1.83E-09,4.25E-08,8.58E-07,1.14E-05,7.35E-05,2.26E-04,4.28E-04,6.40E-04,8.50E-04
4.9,8.68E-11,1.97E-09,4.57E-08,9.21E-07,1.22E-05,7.84E-05,2.40E-04,4.52E-04,6.76E-04,8.96E-04
5,9.30E-11,2.12E-09,4.91E-08,9.90E-07,1.30E-05,8.37E-05,2.54E-04,4.79E-04,7.14E-04,9.46E-04
